PORT_ID,ADR_ID,GROUP_ID
MFAPIA00HY,10320,Bay14
MFAPIA00HZ,10319,Bay14
MFAPIA00J1,10318,Bay14
MFAPIA00J2,10317,Bay14
MFCAGH00J3,10316,Bay14
MFCAGH00J4,10315,Bay14
MFCAGH00J5,10314,Bay14
MFCAGH00J6,10313,Bay14
MFCAGH00J7,10312,Bay14
MFCAGG00J8,10311,Bay14
MFCAGG00J9,10310,Bay14
MFCAGG00JA,10309,Bay14
MFCAGG00JB,10308,Bay14
MFCAGG00JC,10307,Bay14
MFCAGF00JD,10306,Bay14
MFCAGF00JE,10305,Bay14
MFCAGF00JF,10304,Bay14
MFCAGF00JG,10303,Bay14
MFCAGF00JH,10302,Bay14
MFSOR500K5,10337,Bay15
MFSOR500K6,10336,Bay15
MFSOR500K7,10335,Bay15
MFSOR500K8,10334,Bay15
MFSOR500K9,10333,Bay15
MFSOR500KA,10332,Bay15
MFSOR500KB,10331,Bay15
MFSOR500KC,10330,Bay15
MFSOR500KD,10329,Bay15
MFRWTK00JZ,10342,Bay15
MFRWTK00K1,10341,Bay15
MFRWTK00K2,10340,Bay15
MFRWTK00K3,10339,Bay15
MFRWTK00K4,10338,Bay15
MFRWTJ00JU,10347,Bay15
MFRWTJ00JV,10346,Bay15
MFRWTJ00JW,10345,Bay15
MFRWTJ00JX,10344,Bay15
MFRWTJ00JY,10343,Bay15
MFRWTH00JP,10352,Bay15
MFRWTH00JQ,10351,Bay15
MFRWTH00JR,10350,Bay15
MFRWTH00JS,10349,Bay15
MFRWTH00JT,10348,Bay15
MFRWTG00JJ,10357,Bay15
MFRWTG00JK,10356,Bay15
MFRWTG00JL,10355,Bay15
MFRWTG00JM,10354,Bay15
MFRWTG00JN,10353,Bay15
MFAPIE00KE,10268,Bay16
MFAPIE00KF,10267,Bay16
MFAPIE00KG,10266,Bay16
MFAPIE00KH,10265,Bay16
MFAPIE00KJ,10264,Bay16
MFAPID00KK,10263,Bay16
MFAPID00KL,10262,Bay16
MFAPID00KM,10261,Bay16
MFAPID00KN,10260,Bay16
MFAPID00KP,10259,Bay16
MFAPIC00KQ,10258,Bay16
MFAPIC00KR,10257,Bay16
MFAPIC00KS,10256,Bay16
MFAPIC00KT,10255,Bay16
MFAPIC00KU,10254,Bay16
MFCAGK00KV,10253,Bay16
MFCAGK00KW,10252,Bay16
MFCAGK00KX,10251,Bay16
MFCAGK00KY,10250,Bay16
MFCAGK00KZ,10249,Bay16
MFCAGJ00L1,10248,Bay16
MFCAGJ00L2,10247,Bay16
MFCAGJ00L3,10246,Bay16
MFCAGJ00L4,10245,Bay16
MFCAGJ00L5,10244,Bay16
MFSOR600LS,10279,Bay17
MFSOR600LT,10278,Bay17
MFSOR600LU,10277,Bay17
MFSOR600LV,10276,Bay17
MFSOR600LW,10275,Bay17
MFSOR600LX,10274,Bay17
MFSOR600LY,10273,Bay17
MFSOR600LZ,10272,Bay17
MFSOR600M1,10271,Bay17
MFRWTP00LM,10284,Bay17
MFRWTP00LN,10283,Bay17
MFRWTP00LP,10282,Bay17
MFRWTP00LQ,10281,Bay17
MFRWTP00LR,10280,Bay17
MFRWTN00LG,10289,Bay17
MFRWTN00LH,10288,Bay17
MFRWTN00LJ,10287,Bay17
MFRWTN00LK,10286,Bay17
MFRWTN00LL,10285,Bay17
MFRWTM00LB,10294,Bay17
MFRWTM00LC,10293,Bay17
MFRWTM00LD,10292,Bay17
MFRWTM00LE,10291,Bay17
MFRWTM00LF,10290,Bay17
MFRWTL00L6,10299,Bay17
MFRWTL00L7,10298,Bay17
MFRWTL00L8,10297,Bay17
MFRWTL00L9,10296,Bay17
MFRWTL00LA,10295,Bay17
MFAPIH00M2,10210,Bay18
MFAPIH00M3,10209,Bay18
MFAPIH00M4,10208,Bay18
MFAPIH00M5,10207,Bay18
MFAPIH00M6,10206,Bay18
MFAPIG00M7,10205,Bay18
MFAPIG00M8,10204,Bay18
MFAPIG00M9,10203,Bay18
MFAPIG00MA,10202,Bay18
MFAPIG00MB,10201,Bay18
MFAPIF00MC,10200,Bay18
MFAPIF00MD,10199,Bay18
MFAPIF00ME,10198,Bay18
MFAPIF00MF,10197,Bay18
MFAPIF00MG,10196,Bay18
MFCAGM00MH,10195,Bay18
MFCAGM00MJ,10194,Bay18
MFCAGM00MK,10193,Bay18
MFCAGM00ML,10192,Bay18
MFCAGM00MM,10191,Bay18
MFCAGL00MN,10190,Bay18
MFCAGL00MP,10189,Bay18
MFCAGL00MQ,10188,Bay18
MFCAGL00MR,10187,Bay18
MFCAGL00MS,10186,Bay18
MFSOR700NE,10221,Bay19
MFSOR700NF,10220,Bay19
MFSOR700NG,10219,Bay19
MFSOR700NH,10218,Bay19
MFSOR700NJ,10217,Bay19
MFSOR700NK,10216,Bay19
MFSOR700NL,10215,Bay19
MFSOR700NM,10214,Bay19
MFSOR700NN,10213,Bay19
MFRWTT00N9,10226,Bay19
MFRWTT00NA,10225,Bay19
MFRWTT00NB,10224,Bay19
MFRWTT00NC,10223,Bay19
MFRWTT00ND,10222,Bay19
MFRWTS00N4,10231,Bay19
MFRWTS00N5,10230,Bay19
MFRWTS00N6,10229,Bay19
MFRWTS00N7,10228,Bay19
MFRWTS00N8,10227,Bay19
MFRWTR00MY,10236,Bay19
MFRWTR00MZ,10235,Bay19
MFRWTR00N1,10234,Bay19
MFRWTR00N2,10233,Bay19
MFRWTR00N3,10232,Bay19
MFRWTQ00MT,10241,Bay19
MFRWTQ00MU,10240,Bay19
MFRWTQ00MV,10239,Bay19
MFRWTQ00MW,10238,Bay19
MFRWTQ00MX,10237,Bay19
MFAPIM00NP,10158,Bay20
MFAPIM00NQ,10157,Bay20
MFAPIM00NR,10156,Bay20
MFAPIM00NS,10155,Bay20
MFAPIM00NT,10154,Bay20
MFAPIL00NU,10153,Bay20
